"","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Critic.Score","Sequel"
"63","Mary Poppins Returns",2018,"Fall",131,162409398.645958,436631421.744325,"Fantasy","PG",80,1
"64","Birthday Girl",2002,"Winter",93,22668704.83602,28248693.7187326,"Comedy","R",52,0
"65","MVP: Most Valuable Primate",2000,"Fall",93,1821718.93147503,2186062.71777003,"Comedy","PG",13,0
"66","Confidence",2003,"Spring",97,25573369.5652174,39212500,"Crime","R",70,0
"67","Good Luck Chuck",2007,"Summer",99,37831644.9589966,90493294.7419199,"Comedy","PG-13",5,0
"68","Brother Bear",2003,"Fall",85,78425000,426904782.608696,"Animation","G",37,0
"69","You're Next",2013,"Summer",94,1346351.93133047,36216866.9527897,"Horror","R",76,0
"70","Crossing Over",2009,"Winter",113,4265540.01554002,5118648.01864802,"Drama","PG-13",16,0
"71","No One Lives",2013,"Spring",86,6731759.65665236,1411924655793.99,"Horror","R",48,0
"72","Mary Queen of Scots",2018,"Fall",125,31232576.6626842,58717244.1258463,"Biography","R",63,0
"73","College",2008,"Summer",94,10199256.8509057,9033627.49651649,"Comedy","R",5,0
"74","Mechanic: Resurrection",2016,"Summer",98,52283333.3333333,164431083.333333,"Action","R",32,1
"75","The Bank Job",2008,"Winter",112,29140733.8597306,96310125.4064096,"Crime","R",79,0
"76","Sound of Freedom",2023,"Summer",131,14928290.1214309,258413849.688218,"Action","PG-13",57,0
"77","The Darkest Minds",2018,"Summer",105,42476304.2612505,51346356.0334528,"Sci-Fi","PG-13",17,0
"78","The Souvenir",2019,"Spring",119,2044713.85738496,2453656.62886195,"Drama","R",88,0
"79","Loving Jezebel",2000,"Fall",87,109591574719.319,131509889663.182,"Comedy","R",40,0
"80","The Blackening",2023,"Spring",97,5147686.24876928,19149392.8454217,"Horror","PG-13",80,0
"81","Tiger Eyes",2013,"Spring",92,30472432045.7797,36566918454.9356,"Drama","PG-13",77,0
"82","The Empty Man",2020,"Fall",137,19394126.7387944,5818238.02163833,"Horror","R",75,0
"83","Supercross",2005,"Summer",80,48187403.9938556,5371981590885.82,"Action","PG-13",5,0
"84","To Rome with Love",2012,"Spring",112,23226916.3763066,100012369.337979,"Comedy","R",44,0
"85","Deepwater Horizon",2016,"Summer",107,203905000,159202750,"Thriller","PG-13",83,0
"86","The Twilight Saga: Eclipse",2010,"Spring",123,97806510.7748739,1062926639.15635,"Fantasy","PG-13",47,1
"87","Tears of the Sun",2003,"Winter",121,171341576.086957,147473097.826087,"Other","R",33,0
"88","Winchester",2018,"Winter",99,4372560.73277579,54969334.9263242,"Horror","PG-13",14,0
"89","Ramona and Beezus",2010,"Summer",103,21574965.6121045,39266437.4140303,"Comedy","G",70,0
"90","Lowriders",2017,"Spring",99,6399428.80456956,8063280.29375765,"Drama","PG-13",58,0
"91","Paws of Fury: The Legend of Hank",2022,"Summer",98,48228561.6672361,45549197.1301674,"Animation","PG",53,0
"92","Five Nights at Freddy's",2023,"Fall",109,20590744.9950771,300213062.028224,"Horror","PG-13",32,0
"93","The Other Man",2009,"Summer",84,2559324.00932401,3071188.81118881,"Drama","R",18,0
"94","Sex and the City",2008,"Spring",145,94707385.0441245,610206967.022759,"Romance","R",49,0
"95","Beautiful Disaster",2023,"Spring",95,5919839.18608467,7103807.02330161,"Romance","PG-13",25,0
"96","About Last Night",2014,"Winter",100,17228981.8335446,66927967.8918462,"Comedy","R",13,1
"97","The Disappointments Room",2016,"Summer",85,19606250,7450375,"Thriller","R",0,0
"98","Cry Macho",2021,"Fall",104,38199630.99631,19099815.498155,"Drama","PG-13",59,0
"99","Breaking",2022,"Summer",103,2500740.23459743,3000888.28151691,"Drama","R",80,0
"100","The Suicide Squad",2021,"Fall",132,214149446.494465,195281143.911439,"Action","R",90,1
"101","The Front Runner",2018,"Fall",114,31232576.6626842,3997769.81282358,"Drama","R",60,0
"102","Case 39",2010,"Fall",109,37396607.0609812,40560935.3507565,"Horror","R",30,0
"103","The Cave",2005,"Summer",97,40156169.9948797,53488018.4331797,"Horror","PG-13",13,0
"104","Shazam!",2019,"Spring",132,171755964.020336,451227454.047712,"Action","PG-13",90,0
"105","Keeping the Faith",2000,"Spring",128,52829849.0127758,109120963.995354,"Comedy","PG-13",69,0
"106","The Pale Blue Eye",2022,"Fall",130,77165698.6675777,92598838.4010933,"Other","R",64,0
"107","John Carter",2012,"Winter",132,418904268.292683,388162761.324042,"Action","PG-13",52,0
"108","Ice Age: Dawn of the Dinosaurs",2009,"Summer",94,131622377.622378,1296772913.75291,"Animation","PG",45,1
"109","Dune: Part Two",2024,"Winter",166,1.9e+08,715400000,"Sci-Fi","PG-13",92,1
"110","The Dukes of Hazzard",2005,"Summer",104,85131080.3891449,176365898.617512,"Action","PG-13",14,1
"111","The Snowman",2017,"Fall",119,44796001.6319869,55163076.2953896,"Thriller","R",29,0
"112","Witless Protection",2008,"Winter",99,10927775.197399,6119554.11054343,"Comedy","PG-13",0,0
"113","Fantastic Beasts: The Secrets of Dumbledore",2022,"Spring",142,214349162.965494,436414895.797745,"Fantasy","PG-13",46,1
"114","The Longshots",2008,"Summer",95,33511843.9386902,17193032.9772411,"Drama","PG",40,0
"115","The Incredible Hulk",2008,"Spring",112,309620297.259638,386988945.657222,"Action","PG-13",67,0
"116","Children of the Corn",2023,"Winter",93,493473504813.478,592168205776.173,"Horror","R",11,1
"117","Risen",2016,"Winter",107,26141666.6666667,60648666.6666667,"Drama","PG-13",52,0
"118","Trauma Center",2019,"Fall",87,95046478946.6823,114055774736.019,"Action","R",0,0
"119","Robot & Frank",2012,"Summer",89,3415722.99651568,6694817.07317073,"Sci-Fi","PG-13",86,0
"120","Fantastic Mr. Fox",2009,"Fall",87,58498834.4988345,84969557.1095571,"Animation","PG",93,0
