"","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Critic.Score","Sequel"
"278","The Perks of Being a Wallflower",2012,"Summer",103,17761759.5818815,45497430.3135889,"Drama","PG-13",85,0
"279","Remember Me",2010,"Winter",108,23013296.6529115,80546538.2851903,"Drama","PG-13",27,0
"280","Babel",2006,"Fall",144,38901289.6825397,210533779.761905,"Drama","R",69,0
"281","Anna Karenina",2012,"Summer",130,55471341.4634146,94137325.7839721,"Drama","R",63,0
"282","The Great Raid",2005,"Summer",132,160624679.979519,17347465.437788,"Action","R",36,0
"283","First Sunday",2008,"Winter",106,29140733.8597306,56533023.6878774,"Comedy","PG-13",13,0
"284","The Wedding Ringer
",2015,"Winter",101,30443459.9156118,105625569.620253,"Comedy","PG-13",29,0
"285","Spiral",2021,"Summer",93,23151291.5129151,46997121.7712177,"Horror","R",37,1
"286","Crime and Punishment in Suburbia",2000,"Summer",98,40068707897.7933,48082449477.3519,"Drama","R",10,0
"287","It",2017,"Summer",135,70393716.8502652,901295552.835577,"Horror","R",86,1
"288","The Namesake",2007,"Winter",121,14376025.0844187,30870622.2865412,"Drama","PG-13",86,0
"289","The Ring Two",2005,"Winter",110,80312339.9897593,263424475.166411,"Horror","PG-13",20,1
"290","Saw 3D",2010,"Fall",90,24451627.6937185,195900687.757909,"Horror","R",9,1
"291","The Rider",2018,"Spring",105,99944245320.5894,5247072.87933094,"Other","R",92,0
"292","Big Momma's House",2000,"Spring",99,54651567.9442509,316979094.076655,"Comedy","PG-13",30,0
"293","No Good Deed",2014,"Summer",84,17494043.0925222,71964131.8124208,"Thriller","PG-13",12,0
"294","1408",2007,"Spring",104,37831644.9589966,201264351.181862,"Horror","PG-13",79,0
"295","Grindhouse",2007,"Spring",191,130897491.558128,38436951.2783406,"Horror","R",84,0
"296","Lucky Numbers",2000,"Fall",105,114768292.682927,19856736.3530778,"Comedy","R",22,0
"297","Self/Less
",2015,"Summer",117,34414345.9915612,42091392.4050633,"Sci-Fi","PG-13",18,0
"298","Michael Clayton",2007,"Fall",120,32535214.6647371,140733719.247467,"Thriller","R",91,0
"299","Spy",2015,"Spring",120,86035864.978903,311979282.700422,"Comedy","R",95,0
"300","War of the Worlds",2005,"Spring",117,212024577.572965,970012442.396313,"Sci-Fi","PG-13",75,0
"301","Free Guy",2021,"Fall",115,188104243.542435,383732656.826568,"Action","PG-13",80,0
"302","A Man Apart",2003,"Spring",109,61376086.9565217,75526684.7826087,"Action","R",10,0
"303","Scouts Guide to the Zombie Apocalypse",2015,"Fall",93,35737974.6835443,21310421.9409283,"Comedy","R",60,0
"304","Minority Report",2002,"Spring",145,177862145.636465,624958754.863813,"Sci-Fi","PG-13",90,0
"305","Thirteen Conversations About One Thing",2002,"Spring",104,5386217956272,6463461547526.4,"Drama","R",84,0
"306","Sunshine Cleaning",2009,"Winter",91,7312354.31235431,25300745.9207459,"Comedy","R",74,0
"307","Get Low",2010,"Summer",100,10068317.2856488,15533975.2407153,"Drama","PG-13",85,0
"308","Beau Is Afraid",2023,"Spring",179,36033803.741385,12663308.1719724,"Horror","R",67,0
"309","The Amityville Horror",2005,"Spring",89,30518689.1961085,172671530.977983,"Horror","R",23,1
"310","The Adam Project",2022,"Winter",106,124322514.519986,149187017.423984,"Sci-Fi","PG-13",67,0
"311","When You Finish Saving the World",2023,"Winter",88,168947062684.608,202736475221.529,"Comedy","R",64,0
"312","Get Carter",2000,"Fall",102,115861324.041812,35341347.2706156,"Action","R",25,1
"313","MaXXXine",2024,"Summer",104,1e+07,22100000,"Horror","R",92,1
"314","Sleuth",2007,"Fall",88,6053063.19343946,7263675.83212735,"Thriller","R",36,1
"315","Over Her Dead Body",2008,"Winter",95,14570366.9298653,31326288.8992104,"Comedy","PG-13",15,0
"316","Gotti",2018,"Spring",110,12493030.6650737,7995539.62564715,"Crime","R",0,0
"317","Ferrari",2023,"Fall",130,97806038.7266164,44887824.0892681,"Drama","R",73,0
"318","Valkyrie",2008,"Fall",121,174844403.158384,293592893.636786,"Thriller","PG-13",61,0
"319","The Truth About Charlie",2002,"Fall",104,104624791.550862,12380600.3335186,"Thriller","PG-13",33,0
"320","Marcel the Shell with Shoes On",2022,"Spring",90,6430474.88896481,7502220.70379228,"Animation","PG",99,0
"321","Connie and Carla",2004,"Spring",98,44838009.5288512,18765537.321334,"Comedy","PG-13",43,0
"322","The Assassination of Richard Nixon",2004,"Fall",95,7639068.29010058,7306934.88618317,"Drama","R",77,0
"323","The Nut Job 2: Nutty by Nature",2017,"Summer",91,51195430.4365565,87928151.7747858,"Animation","PG",16,1
"324","Chaos Walking",2021,"Spring",109,188104243.542435,31254243.5424354,"Sci-Fi","PG-13",21,0
"325","Martin Lawrence Live: Runteldat",2002,"Summer",113,5231239.57754308,33305558.6436909,"Comedy","R",33,0
"326","Breakthrough",2019,"Spring",116,17175596.4020336,61832147.0473211,"Drama","PG-13",60,0
"327","Hellion",2014,"Spring",99,61525135896.3526,73830163075.6232,"Drama","R",61,0
"328","Till",2022,"Fall",130,21434916.2965494,12325076.8705159,"Drama","PG-13",98,0
"329","Young Woman and the Sea",2024,"Spring",129,1583333.33333333,1900000,"Drama","PG",94,0
"330","Nerve",2016,"Summer",96,24834583.3333333,111494208.333333,"Thriller","PG-13",67,0
"331","Love Don't Cost a Thing",2003,"Fall",101,29835597.826087,35802717.3913044,"Comedy","PG-13",13,0
"332","Kickin' It Old Skool",2007,"Spring",108,38890931.0178485,7112349.25229136,"Comedy","PG-13",2,0
"333","The Exorcist: The Version You've Never Seen",2000,"Summer",122,21860627.1777003,803924564.45993,"Horror","R",84,1
"334","Going in Style",2017,"Spring",96,31997144.0228478,108662301.101591,"Comedy","PG-13",47,1
"335","Superbad",2007,"Summer",113,41614809.4548963,258465798.359865,"Comedy","R",88,0
"336","Better Living Through Chemistry",2014,"Winter",91,133439568722.715,160127482467.258,"Comedy","R",24,0
"337","Mad Max: Fury Road",2015,"Spring",120,327134831.223629,503508354.43038,"Action","R",97,1
"338","The Color Purple",2023,"Fall",141,144135214.96554,70832162.7830653,"Other","PG-13",83,1
"339","The Midnight Sky",2020,"Fall",118,121213292.117465,3636398.76352396,"Sci-Fi","PG-13",51,0
"340","Novocaine",2001,"Fall",95,17713156.4088086,4428289.10220215,"Comedy","R",52,0
"341","Alpha and Omega",2010,"Summer",88,28766620.8161394,72635717.5607519,"Animation","PG",17,0
"342","How High",2001,"Fall",103,38968944.0993789,55442179.5595709,"Comedy","R",26,0
"343","Chapter 27",2008,"Winter",84,227647412912.216,273176895494.659,"Drama","R",18,0
"344","All the Money in the World",2017,"Fall",135,63994288.0456956,72953488.372093,"Crime","R",79,0
"345","Extraordinary Measures",2010,"Winter",106,44588262.265016,21574965.6121045,"Drama","PG",28,0
"346","Demonic",2021,"Fall",104,1736346.86346863,424427997047.97,"Horror","R",32,0
"347","The Divergent Series: Allegiant",2016,"Winter",121,236582083.333333,234229333.333333,"Sci-Fi","PG-13",13,1
"348","The Ruins",2008,"Spring",90,36425917.3246633,33366140.2693915,"Horror","R",49,0
"349","Alex & Emma",2003,"Spring",96,51146739.1304348,25573369.5652174,"Romance","PG-13",11,0
"350","Bubble Boy",2001,"Summer",84,23027103.3314512,8856578.20440429,"Comedy","PG-13",32,0
"351","The Man Who Cried",2001,"Spring",100,35426312.8176172,3188368.15358554,"Drama","PG-13",33,0
"352","The Iron Claw",2023,"Fall",132,16369642.2710863,46535083.6888743,"Drama","R",89,0
"353","Mystic River",2003,"Fall",138,68195652.173913,266985978.26087,"Drama","R",89,0
"354","Fresh",2022,"Winter",114,26793645.3706867,32152374.4448241,"Horror","R",87,0
"355","Untraceable",2008,"Winter",101,50996284.2545286,77222944.7282861,"Thriller","R",16,0
"356","Saved!",2004,"Spring",92,8303335.09793541,16772736.8978295,"Comedy","PG-13",76,0
"357","Redeeming Love",2022,"Winter",134,32152374.4448241,10074410.6593782,"Romance","PG-13",13,0
"358","Fruitvale Station",2013,"Summer",85,1211716738197.42,23426523.6051502,"Drama","R",94,0
"359","Tuesday",2024,"Spring",110,6.2975e+11,7.557e+11,"Fantasy","R",74,0
"360","Hitchcock
",2012,"Fall",98,20494337.9790941,36889808.3623693,"Drama","PG-13",60,0
"361","Emma",2020,"Winter",124,12121329.2117465,33212442.0401855,"Romance","PG",86,0
"362","Christmas with the Kranks",2004,"Fall",98,99640021.175225,160420434.092112,"Comedy","PG",5,0
"363","The Girl in the Spider's Web",2018,"Fall",117,53720031.8598168,43975467.9410593,"Thriller","R",38,1
"364","The King's Daughter",2022,"Winter",94,42869832.5930987,2357840.79262043,"Fantasy","PG",19,0
"365","Club Dread",2004,"Winter",103,14115669.6664902,12621069.3488618,"Comedy","R",30,0
"366","Lorelei",2021,"Fall",110,12194942804.428,14633931365.3137,"Drama","R",89,0
"367","Preacher's Kid",2010,"Winter",110,4314993.12242091,740833977533.242,"Drama","PG-13",17,0
"368","The Namesake",2006,"Summer",121,14782490.0793651,31743452.3809524,"Drama","PG-13",86,0
"369","Bewitched",2005,"Spring",102,136530977.982591,211060829.493088,"Comedy","PG-13",15,0
"370","W.",2008,"Fall",129,36571620.9939619,42982582.4431026,"Biography","PG-13",58,0
"371","The Two Popes",2019,"Fall",125,49073132.577239,930808137270.239,"Drama","PG-13",89,0
"372","The Mule",2018,"Fall",116,62465153.3253684,218378176.025488,"Crime","R",61,0
"373","Basic",2003,"Winter",98,85244565.2173913,72969347.826087,"Action","R",22,0
"374","Hell or High Water",2016,"Summer",102,15685000,49538458.3333333,"Crime","R",97,0
"375","Killers",2010,"Spring",100,107874828.060523,141244108.207244,"Action","PG-13",11,0
"376","Reign Over Me",2007,"Winter",124,30265315.9671973,33291847.563917,"Drama","R",64,0
"377","The Oranges",2012,"Fall",92,9564024.3902439,2595949.47735192,"Comedy","R",46,0
"378","Sharp Stick",2022,"Summer",96,61266349504.6122,73519619405.5347,"Comedy","R",53,0
"379","Big Hero 6
",2014,"Fall",102,218675538.656527,871786480.777355,"Animation","PG",90,0
"380","6 Underground",2019,"Fall",128,184024247.164646,220829096.597575,"Action","R",36,0
"381","Glass Onion: A Knives Out Mystery",2022,"Fall",139,42869832.5930987,16076187.222412,"Other","PG-13",92,1
"382","Women in Trouble",2009,"Fall",92,73123543123.5431,26324475524.4755,"Comedy","R",65,0
"383","Like Crazy",2011,"Fall",90,348710538016.896,5300400.17785683,"Drama","PG-13",72,0
"384","Waitress",2007,"Spring",104,2269898.6975398,33291847.563917,"Comedy","PG-13",89,0
"385","I'll See You in My Dreams
",2015,"Spring",96,1323628.69198312,9927215.18987342,"Comedy","PG-13",93,0
"386","It's Complicated",2009,"Fall",120,171840326.340326,320427365.967366,"Comedy","R",57,0
"387","The Purge: Anarchy",2014,"Summer",104,19216941.2758766,148301774.397972,"Horror","R",57,1
"388","Safe",2012,"Spring",95,40988675.9581882,55471341.4634146,"Action","R",58,0
"389","The Pursuit of Happyness",2006,"Fall",117,85582837.3015873,477863442.460317,"Biography","PG-13",67,0
"390","The Holiday",2006,"Fall",136,132264384.920635,320235416.666667,"Romance","PG-13",49,0
"391","Entebbe",2018,"Winter",107,9994424.53205894,11993309.4384707,"Thriller","PG-13",24,0
"392","Hercules",2014,"Summer",98,132530629.488804,324434980.988593,"Action","PG-13",58,0
"393","Copperhead",2013,"Spring",118,16156223.1759657,231222480686.695,"Drama","PG-13",21,0
"394","Coyote Ugly",2000,"Summer",101,81977351.9163763,207493786.295006,"Comedy","PG-13",23,0
"395","Smile",2022,"Summer",115,18219678.852067,232997540.143492,"Horror","R",80,0
"396","Candyman",2021,"Fall",91,28939114.3911439,89595498.1549816,"Horror","R",84,1
"397","Chasing Liberty",2004,"Winter",111,38195341.4505029,19928004.235045,"Romance","PG-13",19,0
"398","All Dirt Roads Taste of Salt",2023,"Fall",92,44685348430.1499,53622418116.1798,"Drama","PG-13",80,0
"399","Primeval",2007,"Winter",94,19168033.4458916,23001640.1350699,"Horror","R",18,0
"400","Motherhood",2009,"Fall",90,14624708.6247086,1062271560839.16,"Comedy","PG-13",37,0
"401","De-Lovely",2004,"Summer",125,24910005.2938062,30556273.1604023,"Other","PG-13",48,0
"402","Game 6",2006,"Winter",83,168136560846.561,201763873015.873,"Comedy","R",65,0
"403","Jiu Jitsu",2020,"Fall",102,30303323.0293663,121121170015.456,"Action","R",28,0
"404","The Final Season",2007,"Fall",114,1462433939138.13,1754920726965.75,"Drama","PG",30,0
"405","The Lincoln Lawyer",2011,"Winter",118,55793686.0827034,121490751.445087,"Thriller","R",84,0
"406","Dream House",2011,"Summer",92,69742107.6033793,55793686.0827034,"Thriller","PG-13",7,0
"407","Halloween Ends",2022,"Fall",111,35367611.8893065,112962008.882815,"Horror","R",40,1
"408","Free Birds",2013,"Fall",91,74049356.223176,148098712.446352,"Animation","PG",20,0
"409","Bad Boys II",2003,"Summer",147,221635869.565217,465946793.478261,"Action","R",23,1
"410","The Edge of Seventeen",2016,"Fall",104,11763750,25357416.6666667,"Comedy","R",94,0
"411","Ocean's Twelve",2004,"Fall",125,182673372.154579,602656061.408152,"Crime","PG-13",55,1
"412","Domestic Disturbance",2001,"Fall",89,132848673.066064,96005307.7357425,"Thriller","PG-13",23,0
"413","Resident Evil",2002,"Winter",100,57543635.3529739,179605892.162312,"Action","R",36,0
"414","Trolls Band Together",2023,"Fall",91,97806038.7266164,215791007.548408,"Animation","PG",62,1
"415","Mr. Malcolm's List",2022,"Summer",117,1786243.02471245,2143491.62965494,"Romance","PG",82,0
"416","Star Wars: The Rise of Skywalker",2019,"Fall",142,728367970.277669,1321294094.64216,"Sci-Fi","PG-13",52,1
"417","White Boy Rick",2018,"Summer",111,36229788.9287137,32481879.7291916,"Biography","R",61,0
"418","Turning Red",2022,"Winter",100,187555517.594807,23042535.0187906,"Animation","PG",95,0
"419","Kung Fu Hustle
",2005,"Spring",98,32124935.9959037,168495289.298515,"Action","R",90,0
"420","Naked Singularity",2021,"Fall",93,14055727859.7786,16866873431.7343,"Comedy","R",27,0
"421","Fred Claus",2007,"Fall",116,151326579.835986,147997395.079595,"Comedy","PG",20,0
"422","The Marksman",2021,"Spring",108,43987453.8745387,27665793.3579336,"Action","PG-13",38,0
"423","Pain & Gain",2013,"Spring",129,35005150.2145923,116055536.480687,"Action","R",50,0
"424","Zootopia",2016,"Winter",108,196062500,1339760416.66667,"Animation","PG",98,0
"425","Stomp the Yard",2007,"Winter",109,19672455.3786782,114251567.77617,"Drama","PG-13",37,0
"426","The Lovely Bones",2009,"Fall",135,95060606.0606061,136887272.727273,"Drama","PG-13",32,0
"427","Expend4bles",2023,"Summer",104,102953724.975386,52506399.7374467,"Action","R",14,1
"428","Unsane",2018,"Winter",98,1873954.59976105,17865033.8510554,"Horror","R",80,0
"429","Surrogates",2009,"Summer",89,116997668.997669,179006433.566434,"Sci-Fi","PG-13",39,0
"430","Roman J. Israel, Esq.",2017,"Fall",122,28157486.7401061,16638514.8918809,"Crime","PG-13",52,0
"431","The Angriest Man in Brooklyn",2014,"Spring",84,679438151668.779,815325782002.535,"Comedy","R",13,0
"432","Thirteen Ghosts",2001,"Fall",91,74395256.916996,121335121.400339,"Horror","R",16,0
"433","The Help",2011,"Summer",146,34871053.8016896,309375989.32859,"Drama","PG-13",76,0
"434","Nurse Betty",2000,"Summer",105,45542973.2868757,53558536.5853659,"Comedy","R",83,0
"435","State Property 2",2005,"Spring",94,3212493.59959037,2569994.8796723,"Action","R",50,1
"436","Scream",2022,"Winter",114,25721899.5558592,148865493.679535,"Horror","R",76,1
"437","License to Wed",2007,"Summer",91,52964302.9425953,105928605.885191,"Comedy","PG-13",7,0
"438","The Twilight Saga: New Moon",2009,"Fall",130,73123543.1235431,1041279254.07925,"Romance","PG-13",29,1
"439","Jesus' Son",2000,"Spring",107,4554297.32868757,2368234.61091754,"Drama","R",83,0
"440","Road to Perdition",2002,"Summer",117,139499722.067815,319803112.840467,"Crime","R",81,0
"441","Blinded by the Light",2019,"Summer",117,18402424.7164646,24045834.9628471,"Biography","PG-13",89,0
"442","The Hunt",2020,"Winter",90,16969860.8964451,15030448.2225657,"Action","R",57,0
"443","Maze",2001,"Fall",98,25055.2597402597,30066.3116883117,"Drama","R",40,0
"444","Sinister",2012,"Fall",109,4098867.59581882,119823562.71777,"Horror","R",64,0
"445","Criminal",2016,"Spring",109,41173125,50714833.3333333,"Action","R",31,0
"446","Vengeance",2022,"Summer",107,3929734.65436738,4715681.58524086,"Comedy","R",79,0
"447","Jason Bourne",2016,"Summer",123,156850000,543093125,"Action","PG-13",54,1
"448","Mona Lisa Smile",2003,"Fall",119,123263641.304348,240901141.304348,"Drama","PG-13",34,0
"449","Blade II",2002,"Winter",117,94162312.3957754,270280711.506392,"Action","R",57,1
"450","The Perfect Storm",2000,"Spring",130,218606271.777003,598799012.775842,"Action","PG-13",47,0
"451","The Stoning of Soraya M.",2009,"Spring",116,1340598.29059829,1608717.94871795,"Drama","PG-13",63,0
"452","Eragon",2006,"Fall",103,155605158.730159,389635317.460317,"Fantasy","PG",16,0
"453","Nefarious",2023,"Spring",97,1029537.24975386,5971316.04857237,"Horror","R",33,0
"454","The Greatest Game Ever Played",2005,"Summer",120,40156169.9948797,24736200.7168459,"Drama","PG",63,0
"455","Lightyear",2022,"Spring",105,214349162.965494,242643252.476939,"Animation","PG",74,0
"456","The Curious Case of Benjamin Button",2008,"Fall",166,340218067.812355,489272921.504877,"Drama","PG-13",71,0
"457","Extraction",2015,"Fall",83,1213326.30098453,1455991.56118143,"Action","R",6,0
"458","Broken Bridges",2006,"Summer",105,17116567.4603175,392963.711805556,"Drama","PG-13",5,0
"459","Gigi & Nate",2022,"Summer",114,2054179.47841931,2465015.37410318,"Drama","PG-13",26,0
"460","Spell",2020,"Fall",92,505160435342.607,606192522411.128,"Horror","R",48,0
"461","Twisted",2004,"Winter",97,83033350.9793542,68087347.8030704,"Thriller","PG-13",2,0
"462","The Homesman
",2014,"Fall",123,21204900.7182087,10867511.618082,"Drama","R",81,0
"463","The Menu",2022,"Fall",107,32152374.4448241,85310966.8602665,"Horror","R",88,0
"464","Behind Enemy Lines",2001,"Fall",106,70852625.6352343,215569113.4952,"Action","PG-13",37,0
"465","West of Memphis
",2012,"Fall",147,353133383420.441,423760060104.53,"Other","R",95,0
"466","Morbius",2022,"Spring",104,124858387.4274,179517423.983601,"Action","PG-13",15,0
"467","Lola Versus",2012,"Spring",87,518909806184.669,622691767421.603,"Comedy","R",33,0
"468","Crooked House",2017,"Fall",115,12798857.6091391,15358629.130967,"Other","PG-13",57,0
"469","Gloria Bell",2019,"Winter",102,11348161.9084865,13617794.2901838,"Drama","R",91,0
"470","Tall Girl",2019,"Summer",102,16684865.0762612,20021838.0915135,"Comedy","PG",39,0
"471","Evan Almighty",2007,"Spring",96,264821514.712976,263913555.23396,"Comedy","PG",24,1
"472","The Hills Have Eyes 2",2007,"Winter",90,22698986.975398,56898794.0183309,"Horror","R",12,1
"473","Year One",2009,"Spring",97,87748251.7482518,91258181.8181818,"Comedy","PG-13",14,0
"474","Hotel Rwanda",2004,"Fall",121,29061672.842774,56296611.9640021,"Drama","PG-13",90,0
"475","Dungeons & Dragons: Honor Among Thieves",2023,"Winter",134,154430587.463078,214349655.398753,"Fantasy","PG-13",91,0
"476","Ain't Them Bodies Saints",2013,"Summer",97,5385407.72532189,1346351.93133047,"Crime","R",78,0
"477","The Counselor",2013,"Fall",117,33658798.2832618,95590987.1244635,"Thriller","R",34,0
"478","The Favourite",2018,"Fall",120,18739545.9976105,119933094.384707,"Biography","R",93,0
"479","Easter Sunday",2022,"Summer",96,18219678.852067,14039870.1742398,"Comedy","PG-13",44,0
"480","Firewall",2006,"Winter",105,77802579.3650794,128841071.428571,"Thriller","PG-13",30,0
"481","Walking with Dinosaurs",2013,"Fall",87,107708154.506438,170313519.313305,"Other","PG",22,0
"482","Above Suspicion",2021,"Summer",104,24497924969.2497,29397509963.0996,"Crime","R",25,0
"483","Anna",2019,"Spring",119,36804849.4329292,38767774.7360188,"Action","R",46,0
"484","Cowboys & Aliens",2011,"Summer",119,227359270.787016,243818408.181414,"Sci-Fi","PG-13",44,0
"485","Logan
",2017,"Winter",137,205421664.626683,792505263.157895,"Action","R",94,1
"486","Super",2011,"Spring",96,3487105.38016896,828442783903.957,"Other","R",48,0
"487","Longlegs",2024,"Summer",101,1e+07,1.28e+08,"Horror","R",84,0
"488","High Fidelity",2000,"Winter",113,54651567.9442509,85802961.6724739,"Comedy","R",91,0
"489","Percy Jackson & the Olympians: The Lightning Thief",2010,"Winter",119,136641448.876662,325638147.638698,"Fantasy","PG",49,0
"490","Dumbo",2019,"Winter",112,208560813.453266,433438443.488463,"Other","PG",46,0
"491","Sweetwater",2023,"Spring",119,8236297.99803085,557631349195.93,"Other","R",36,0
"492","This Means War",2012,"Winter",97,88808797.9094077,213824259.581882,"Other","PG-13",26,0
"493","The Other Side of Heaven",2001,"Fall",113,12399209.486166,8502315.07622812,"Drama","PG",29,0
"494","Public Enemies",2009,"Summer",140,190121212.121212,313115011.655012,"Crime","R",68,0
"495","The Grudge",2020,"Winter",94,23030525.5023184,60000579.5981453,"Horror","PG-13",14,1
"496","Chappaquiddick",2018,"Spring",101,42476304.2612505,22862246.1170848,"Drama","PG-13",81,0
"497","Disobedience",2018,"Spring",114,7495818.39904421,9994424.53205894,"Drama","R",93,0
"498","Big George Foreman",2023,"Spring",129,32945191.9921234,6177223.49852314,"Other","PG-13",42,0
"499","Brotherly Love
",2015,"Spring",89,2514894.51476793,633482073839.662,"Drama","R",60,0
"500","The Lord of the Rings: The Return of the King",2003,"Fall",201,160259782.608696,1940166304.34783,"Fantasy","PG-13",93,1
"501","Shrek Forever After",2010,"Spring",93,312837001.375516,1087665933.05823,"Other","PG",57,1
"502","About a Boy",2002,"Spring",101,52312395.7754308,227558921.623124,"Other","PG-13",93,0
"503","The Accountant",2016,"Fall",128,57511666.6666667,202859333.333333,"Action","R",52,0
"504","Under the Silver Lake",2019,"Spring",139,9814626.51544779,2453656.62886195,"Other","R",59,0
"505","The Good Thief",2003,"Spring",108,51146739.1304348,9814965470108.7,"Crime","R",77,0
"506","Waiting for the Barbarians",2020,"Summer",112,772547866756.826,927057440108.192,"Drama","R",53,0
"507","The Dirt",2019,"Winter",108,28339734.0633555,34007680.8760266,"Other","R",36,0
"508","Johnson Family Vacation",2004,"Spring",97,19928004.235045,52311011.1169931,"Comedy","PG-13",6,0
"509","Basic Instinct 2",2006,"Winter",114,108923611.111111,60063591.2698413,"Thriller","R",6,1
"510","The Tomorrow Man",2019,"Spring",94,362019655520.793,434423586624.951,"Drama","PG-13",42,0
"511","Past Lives",2023,"Spring",106,12354446.9970463,43961240.5644897,"Romance","PG-13",96,0
"512","The Details",2012,"Fall",101,72407634654.4715,86889161585.3659,"Comedy","R",45,0
"513","Crazy, Stupid, Love",2011,"Summer",118,69742107.6033793,202252112.0498,"Other","PG-13",79,0
"514","Couples Retreat",2009,"Fall",113,87748251.7482518,251252494.172494,"Comedy","PG-13",10,0
"515","Polaroid",2019,"Fall",88,10428040.6726633,2085608.13453266,"Horror","PG-13",18,0
"516","Sideways",2004,"Fall",127,26570672.3133933,182175172.048703,"Comedy","R",96,0
"517","Geostorm",2017,"Fall",109,236778865.769074,283622684.618523,"Action","PG-13",17,0
