index,Movie Name,Year,Season,Run Time,Budget,Box Office,Genre,MPAA Rating,Audience Score,Sequel
179,Larry the Cable Guy: Health Inspector,2006,Winter,89.0,17000000.0,15600000.0,Comedy,PG-13,4.0,0.0
180,2012 ,2009,Fall,158.0,200000000.0,791200000.0,Action,PG-13,39.0,0.0
181,Breaking In,2018,Spring,88.0,12000000.0,51400000.0,Thriller,PG-13,64.0,0.0
182,The Darjeeling Limited,2007,Summer,91.0,17500000.0,35100000.0,Adventure,R,70.0,0.0
183,"Definitely, Maybe",2008,Winter,111.0,24000000.0,55600000.0,Comedy,PG-13,71.0,0.0
184,"Oldboy
",2005,Winter,120.0,3000000.0,17600000.0,Action,R,71.0,0.0
185,You Will Meet a Tall Dark Stranger,2010,Summer,100.0,22000000.0,36000000.0,Comedy,R,45.0,0.0
186,Stolen,2012,Summer,96.0,35000000.0,18000000.0,Action,R,18.0,0.0
187,All Fun and Games,2023,Summer,76.0,1166666.6666666667,1400000.0,Horror,R,25.0,0.0
188,Empire of Light,2022,Fall,115.0,9500000.0,11400000.0,Drama,R,45.0,0.0
189,Rogue One: A Star Wars Story,2016,Fall,134.0,340100000.0,1059000000.0,Sci-Fi,PG-13,84.0,0.0
190,The Promise,2017,Spring,134.0,90000000.0,12400000.0,Drama,PG-13,51.0,0.0
191,Reservation Road,2007,Fall,98.0,1500000.0,1800000.0,Drama,R,38.0,0.0
192,Lay the Favorite,2012,Fall,94.0,14700000.0,1500000.0,Comedy,R,18.0,0.0
193,"Sleeping with Other People
",2015,Summer,101.0,3000000.0,3200000.0,Comedy,R,74.0,0.0
194,It Chapter Two,2019,Summer,169.0,79000000.0,473100000.0,Horror,R,62.0,1.0
195,Terror on the Prairie,2022,Spring,107.0,2000000.0,13115000000.0,Western,R,30.0,0.0
196,Dance Flick,2009,Spring,83.0,25000000.0,32000000.0,Comedy,PG-13,14.0,0.0
197,Alvin and the Chipmunks: The Squeakquel,2009,Fall,88.0,70000000.0,443100000.0,Animation,PG,20.0,1.0
198,Infamous,2006,Fall,118.0,13000000.0,2600000.0,Biography,R,73.0,0.0
199,Mission: Impossible 2,2000,Spring,124.0,182500000.0,546400000.0,Action,PG-13,57.0,1.0
200,Life or Something Like It,2002,Spring,103.0,40000000.0,16900000.0,Comedy,PG-13,28.0,0.0
201,The Wolfman,2010,Winter,103.0,150000000.0,142600000.0,Horror,R,34.0,0.0
202,"Lincoln
",2012,Fall,150.0,65000000.0,275300000.0,Biography,PG-13,89.0,0.0
203,Spider-Man 3,2007,Spring,139.0,258000000.0,895900000.0,Action,PG-13,63.0,1.0
204,Life Itself,2018,Summer,117.0,10000000.0,8000000.0,Drama,R,13.0,0.0
205,America: Imagine the World Without Her,2014,Spring,103.0,5000000.0,14400000.0,Documentary,PG-13,19.0,0.0
206,21 Jump Street,2012,Winter,109.0,69350000.0,201000000.0,Action,R,85.0,0.0
