"Movie.Name","Year","Season","Run.Time","Critic.Score","Sequel","Log.Budget","Adjusted.MPAA.Rating","Adjusted.Genre","Log.Box.Office"
"Lions for Lambs",2007,"Fall",92,28,0,17.7851287152086,"R","Drama",18.376084954872
"The Eternal Daughter",2022,"Fall",96,94,0,26.9529354375809,"PG-13","Horror",27.1352569943749
"The Perks of Being a Wallflower",2012,"Summer",103,85,0,16.692558366177,"PG-13","Drama",17.6331664057019
"Remember Me",2010,"Winter",108,27,0,16.9515827221931,"PG-13","Drama",18.2043456906885
"Babel",2006,"Fall",144,69,0,17.4765379618319,"R","Drama",19.1651566721404
"Anna Karenina",2012,"Summer",130,63,0,17.8313770753232,"R","Drama",18.3602651867351
"The Great Raid",2005,"Summer",132,36,0,18.8945810212664,"R","Action",16.6689569694084
"First Sunday",2008,"Winter",106,13,0,17.1876475423446,"PG-13","Comedy",17.8503355154198
"The Wedding Ringer",2015,"Winter",101,29,0,17.2313817479549,"PG-13","Comedy",18.4754110364815
"Spiral",2021,"Summer",93,37,1,16.9575611258352,"R","Horror",17.6655969188889
"Crime and Punishment in Suburbia",2000,"Summer",98,10,0,24.4138615149501,"R","Drama",24.5961830717441
"It",2017,"Summer",135,86,1,18.0696145678593,"R","Horror",20.6193437893478
"The Namesake",2007,"Winter",121,86,0,16.4810724523257,"PG-13","Drama",17.2453155545693
"The Ring Two",2005,"Winter",110,20,1,18.2014338407064,"PG-13","Horror",19.3892772631025
"Saw 3D",2010,"Fall",90,9,1,17.0122073440095,"R","Horror",19.0931183936687
"The Rider",2018,"Spring",105,92,0,25.3278783206534,"R","Other",15.4731809322867
"Big Momma's House",2000,"Spring",99,30,0,17.8164884628294,"PG-13","Comedy",19.5743463803818
"No Good Deed",2014,"Summer",84,12,0,16.6773709862333,"PG-13","Thriller",18.0916783835809
"1408",2007,"Spring",104,79,0,17.4486564785874,"PG-13","Horror",19.1201297819409
"Grindhouse",2007,"Spring",191,84,0,18.689925067657,"R","Horror",17.4645298277437
"Lucky Numbers",2000,"Fall",105,22,0,18.5584258075588,"R","Comedy",16.8040538704024
"Self/Less",2015,"Summer",117,18,0,17.3539840700473,"PG-13","Sci-Fi",17.5553538218119
"Michael Clayton",2007,"Fall",120,91,0,17.2978335888528,"R","Thriller",18.7623801468724
"Spy",2015,"Spring",120,95,0,18.2702748019214,"R","Comedy",19.5584473419679
"War of the Worlds",2005,"Spring",117,75,0,19.1722127578646,"PG-13","Sci-Fi",20.6928194565921
"Free Guy",2021,"Fall",115,80,0,19.052506854051,"PG-13","Action",19.7654566619071
"A Man Apart",2003,"Spring",109,10,0,17.932530854008,"R","Action",18.139996592603
"Scouts Guide to the Zombie Apocalypse",2015,"Fall",93,60,0,17.3917243980301,"R","Comedy",16.8747068040162
"Minority Report",2002,"Spring",145,90,0,18.9965193454887,"PG-13","Sci-Fi",20.2531962133052
"Thirteen Conversations About One Thing",2002,"Spring",104,84,0,29.3148645766867,"R","Drama",29.4971861334807
"Sunshine Cleaning",2009,"Winter",91,74,0,15.8050758472269,"R","Comedy",17.0463444362966
"Get Low",2010,"Summer",100,85,0,16.1249041490086,"PG-13","Drama",16.5585401340835
"Beau Is Afraid",2023,"Spring",179,67,0,17.3999680486587,"R","Horror",16.3542192495476
"The Amityville Horror",2005,"Spring",89,23,1,17.2338498144447,"R","Horror",18.966901682846
"The Adam Project",2022,"Winter",106,67,0,18.6383896705694,"PG-13","Sci-Fi",18.8207112273634
"When You Finish Saving the World",2023,"Winter",88,64,0,25.8528512642474,"R","Comedy",26.0351728210414
"Get Carter",2000,"Fall",102,25,1,18.5679045515134,"R","Action",17.3805641472366
"MaXXXine",2024,"Summer",104,92,1,16.1180956509583,"R","Horror",16.911088166488
"Sleuth",2007,"Fall",88,36,1,15.6160750148391,"R","Thriller",15.798396571633
"Over Her Dead Body",2008,"Winter",95,15,0,16.4945003617846,"PG-13","Comedy",17.2599682039242
"Gotti",2018,"Spring",110,0,0,16.3406814999914,"R","Crime",15.894394397363
"Ferrari",2023,"Fall",130,73,0,18.3984968787698,"R","Drama",17.6196771375242
"Valkyrie",2008,"Fall",121,61,0,18.9794070115726,"PG-13","Thriller",19.4977046501773
"The Truth About Charlie",2002,"Fall",104,33,0,18.4658910944265,"PG-13","Thriller",16.3316413162517
"Marcel the Shell with Shoes On",2022,"Spring",90,99,0,15.6765589486911,"PG","Animation",15.8307096285184
"Connie and Carla",2004,"Spring",98,43,0,17.6185667646578,"PG-13","Comedy",16.7475326243717
"The Assassination of Richard Nixon",2004,"Fall",95,77,0,15.8487862021485,"R","Drama",15.8043344395777
"The Nut Job 2: Nutty by Nature",2017,"Summer",91,16,1,17.7511608367408,"PG","Animation",18.2920305818551
"Chaos Walking",2021,"Spring",109,21,0,19.052506854051,"PG-13","Sci-Fi",17.2576657182855
"Martin Lawrence Live: Runteldat",2002,"Summer",113,33,0,15.4701588208725,"R","Comedy",17.321234867257
"Breakthrough",2019,"Spring",116,60,0,16.659000120479,"PG-13","Drama",17.9399339659411
"Hellion",2014,"Spring",99,61,0,24.84271164202,"R","Drama",25.025033198814
"Till",2022,"Fall",130,98,0,16.8805317530171,"PG-13","Drama",16.3271465148323
"Young Woman and the Sea",2024,"Spring",129,94,0,14.2750428873427,"PG","Drama",14.4573644441367
"Nerve",2016,"Summer",96,67,0,17.0277477289854,"PG-13","Thriller",18.5294832043165
"Love Don't Cost a Thing",2003,"Fall",101,13,0,17.2112127964814,"PG-13","Comedy",17.3935343532753
"Kickin' It Old Skool",2007,"Spring",108,2,0,17.4762716456203,"PG-13","Comedy",15.7773431624352
"The Exorcist: The Version You've Never Seen",2000,"Summer",122,84,1,16.9001977309553,"R","Horror",20.5050159974428
"Going in Style",2017,"Spring",96,47,1,17.281157207495,"PG-13","Comedy",18.5037554759441
"Superbad",2007,"Summer",113,88,0,17.5439666583917,"R","Comedy",19.3702739350736
"Better Living Through Chemistry",2014,"Winter",91,24,0,25.6169145435576,"R","Comedy",25.7992361003515
"Mad Max: Fury Road",2015,"Spring",120,97,1,19.6058829717787,"R","Action",20.037110862697
"The Color Purple",2023,"Fall",141,83,1,18.7862624097785,"PG-13","Other",18.0758237321085
"The Midnight Sky",2020,"Fall",118,51,0,18.6130622965223,"PG-13","Sci-Fi",15.1065043992023
"Novocaine",2001,"Fall",95,52,0,16.6898182213662,"R","Comedy",15.3035238602463
"Alpha and Omega",2010,"Summer",88,17,0,17.1747262735073,"PG","Animation",18.1009673362346
"How High",2001,"Fall",103,26,0,17.4782755817304,"R","Comedy",17.8308512259182
"Chapter 27",2008,"Winter",84,18,0,26.1510638343412,"R","Drama",26.3333853911351
"All the Money in the World",2017,"Fall",135,79,0,17.974304388055,"R","Crime",18.1053326504614
"Extraordinary Measures",2010,"Winter",106,28,0,17.6129812044385,"PG","Drama",16.8870442010555
"Demonic",2021,"Fall",104,32,0,14.3672939603894,"R","Horror",26.7740082100495
"The Divergent Series: Allegiant",2016,"Winter",121,13,1,19.2818057810847,"PG-13","Sci-Fi",19.2718112503597
"The Ruins",2008,"Spring",90,49,0,17.4107910936588,"R","Horror",17.3230521793508
"Alex & Emma",2003,"Spring",96,11,0,17.7502092972141,"PG-13","Romance",17.0570621166541
"Bubble Boy",2001,"Summer",84,32,0,16.9521824858337,"PG-13","Comedy",15.9966710408062
"The Man Who Cried",2001,"Spring",100,33,0,17.3829654019261,"PG-13","Drama",14.9750197932742
"The Iron Claw",2023,"Fall",132,89,0,16.6109390963954,"R","Drama",17.6557170740074
"Mystic River",2003,"Fall",138,89,0,18.0378913696659,"R","Drama",19.4027066991086
"Fresh",2022,"Winter",114,87,0,17.1036753043313,"R","Horror",17.2859968611252
"Untraceable",2008,"Winter",101,16,0,17.74726333028,"R","Thriller",18.1622071823427
"Saved!",2004,"Spring",92,76,0,15.9321678110875,"PG-13","Comedy",16.6352653225007
"Redeeming Love",2022,"Winter",134,13,0,17.2859968611252,"PG-13","Romance",16.125509168739
"Fruitvale Station",2013,"Summer",85,94,0,27.8230592619017,"R","Drama",16.9693794258157
"Tuesday",2024,"Spring",110,74,0,27.1685887521791,"R","Fantasy",27.3509103089731
"Hitchcock",2012,"Fall",98,60,0,16.8356592098177,"PG-13","Drama",17.4234458747198
"Emma",2020,"Winter",124,86,0,16.3104772035282,"PG","Romance",17.3184351239282
"Christmas with the Kranks",2004,"Fall",98,5,0,18.4170744608755,"PG","Comedy",18.8933086398719
"The Girl in the Spider's Web",2018,"Fall",117,38,1,17.7992965226909,"R","Thriller",17.5991424896014
"The King's Daughter",2022,"Winter",94,19,0,17.573678933577,"PG","Fantasy",14.6732568398273
"Club Dread",2004,"Winter",103,30,0,16.4627960621497,"R","Comedy",16.3508781459457
"Lorelei",2021,"Fall",110,89,0,23.2242871785195,"R","Drama",23.4066087353135
"Preacher's Kid",2010,"Winter",110,17,0,15.2776062886214,"PG-13","Drama",27.3310423852272
"The Namesake",2006,"Summer",121,86,0,16.5089539355702,"PG-13","Drama",17.2731970378139
"Bewitched",2005,"Spring",102,15,0,18.7320620917686,"PG-13","Comedy",19.1676569413288
"W.",2008,"Fall",129,58,0,17.4147831149283,"PG-13","Biography",17.5763055321364
"The Two Popes",2019,"Fall",125,89,0,17.7088222449777,"PG-13","Drama",27.5593190105691
"The Mule",2018,"Fall",116,61,0,17.9501194124255,"R","Crime",19.2017388702188
"Basic",2003,"Winter",98,22,0,18.2610349209801,"R","Action",18.1055500181397
"Hell or High Water",2016,"Summer",102,97,0,16.5682153996069,"R","Crime",17.7182598619073
"Killers",2010,"Spring",100,11,0,18.4964821134896,"PG-13","Action",18.7660002153137
"Reign Over Me",2007,"Winter",124,64,0,17.2255129272732,"R","Drama",17.3208231070775
"The Oranges",2012,"Fall",92,46,0,16.0735191577708,"R","Comedy",14.7694628948879
"Sharp Stick",2022,"Summer",96,53,0,24.8384965814391,"R","Comedy",25.0208181382331
"Big Hero 6",2014,"Fall",102,90,0,19.2030996305415,"PG","Animation",20.5860550903959
"6 Underground",2019,"Fall",128,36,0,19.03057808496,"R","Action",19.212899641754
"Glass Onion: A Knives Out Mystery",2022,"Fall",139,92,1,17.573678933577,"PG-13","Other",16.5928496805653
"Women in Trouble",2009,"Fall",92,65,0,25.0154162192031,"R","Comedy",23.9937649716711
"Like Crazy",2011,"Fall",90,72,0,26.57750801104,"PG-13","Drama",15.483292880928
"Waitress",2007,"Spring",104,89,0,14.6352457618273,"PG-13","Comedy",17.3208231070775
"I'll See You in My Dreams",2015,"Spring",96,93,0,14.0958875320258,"PG-13","Comedy",16.110790552568
"It's Complicated",2009,"Fall",120,57,0,18.9620762683771,"R","Comedy",19.5851661813943
"The Purge: Anarchy",2014,"Summer",104,57,1,16.7713028060675,"R","Horror",18.8147597719588
"Safe",2012,"Spring",95,58,0,17.5288063903776,"R","Action",17.8313770753232
"The Pursuit of Happyness",2006,"Fall",117,67,0,18.2649953221962,"PG-13","Biography",19.9848355644105
"The Holiday",2006,"Fall",136,49,0,18.700313393454,"PG-13","Romance",19.5845669603636
"Entebbe",2018,"Winter",107,24,0,16.1175379486772,"PG-13","Thriller",16.2998595054712
"Hercules",2014,"Summer",98,58,0,18.7023243426291,"PG-13","Action",19.5975957072791
"Copperhead",2013,"Spring",118,21,0,16.5978158693832,"PG-13","Drama",26.1666462038217
"Coyote Ugly",2000,"Summer",101,23,0,18.2219535709376,"PG-13","Comedy",19.1506119516204
"Smile",2022,"Summer",115,80,0,16.7180128235193,"R","Horror",19.2665384541502
"Candyman",2021,"Fall",91,84,1,17.1807046771494,"R","Horror",18.3108156328769
"Chasing Liberty",2004,"Winter",111,19,0,17.4582241145826,"PG-13","Romance",16.8076365484414
"All Dirt Roads Taste of Salt",2023,"Fall",92,80,0,24.5229115092239,"PG-13","Drama",24.7052330660179
"Primeval",2007,"Winter",94,18,0,16.7687545247774,"R","Horror",16.9510760815714
"Motherhood",2009,"Fall",90,37,0,16.4982230277869,"PG-13","Comedy",27.6914307130657
"De-Lovely",2004,"Summer",125,48,0,17.0307800997557,"PG-13","Other",17.2350805632684
"Game 6",2006,"Winter",83,65,0,25.848042348338,"R","Comedy",26.030363905132
"Jiu Jitsu",2020,"Fall",102,28,0,17.2267679354024,"R","Action",25.520057286558
"The Final Season",2007,"Fall",114,30,0,28.0111232452122,"PG","Drama",28.1934448020061
"The Lincoln Lawyer",2011,"Winter",118,84,0,17.8371712683096,"R","Thriller",18.6153486980541
"Dream House",2011,"Summer",92,7,0,18.0603148196238,"PG-13","Thriller",17.8371712683096
"Halloween Ends",2022,"Fall",111,40,1,17.3813070409295,"R","Horror",18.5425621155703
"Free Birds",2013,"Fall",91,20,0,18.1202424048277,"PG","Animation",18.8133895853876
"Bad Boys II",2003,"Summer",147,23,1,19.2165463660075,"R","Action",19.9595820084859
"The Edge of Seventeen",2016,"Fall",104,94,0,16.2805333271551,"R","Comedy",17.0485818158882
"Ocean's Twelve",2004,"Fall",125,55,1,19.0232102644459,"PG-13","Crime",20.2168572128725
"Domestic Disturbance",2001,"Fall",89,23,0,18.7047212419084,"PG-13","Thriller",18.3799140368177
"Resident Evil",2002,"Winter",100,36,0,17.8680540936709,"R","Action",19.0062755204341
"Trolls Band Together",2023,"Fall",91,62,1,18.3984968787698,"PG","Animation",19.1898209396161
"Mr. Malcolm's List",2022,"Summer",117,82,0,14.3956251032291,"PG","Romance",14.577946660023
"Star Wars: The Rise of Skywalker",2019,"Fall",142,52,1,20.4063169321404,"PG-13","Sci-Fi",21.0018774680202
"White Boy Rick",2018,"Summer",111,61,0,17.4053922369838,"R","Biography",17.2961929450188
"Turning Red",2022,"Winter",100,95,0,19.0495854533866,"PG","Animation",16.9528524145967
"Kung Fu Hustle",2005,"Spring",98,90,0,17.2851431088323,"R","Action",18.9424183506805
"Naked Singularity",2021,"Fall",93,27,0,23.3662958265011,"R","Comedy",23.5486173832951
"Fred Claus",2007,"Fall",116,20,0,18.8349508397073,"PG","Comedy",18.8127052307599
"The Marksman",2021,"Spring",108,38,0,17.5994150120076,"PG-13","Action",17.1357073112187
"Pain & Gain",2013,"Spring",129,50,0,17.3710057576167,"R","Action",18.5695793972649
"Zootopia",2016,"Winter",108,98,0,19.0939440439152,"PG","Animation",21.0157566413914
"Stomp the Yard",2007,"Winter",109,37,0,16.7947300111807,"PG-13","Drama",18.5539133099742
"The Lovely Bones",2009,"Fall",135,32,0,18.3700252046885,"PG-13","Drama",18.7346683182764
"Expend4bles",2023,"Summer",104,14,1,18.4497901731573,"R","Action",17.7764456198936
"Unsane",2018,"Winter",98,80,0,14.4435615151055,"R","Horror",16.6983559442632
"Surrogates",2009,"Summer",89,39,0,18.5776645694667,"PG-13","Sci-Fi",19.0029323048711
"Roman J. Israel, Esq.",2017,"Fall",122,52,0,17.1533238359852,"PG-13","Crime",16.6272307400884
"The Angriest Man in Brooklyn",2014,"Spring",84,13,0,27.24453204604,"R","Comedy",27.426853602834
"Thirteen Ghosts",2001,"Fall",91,16,0,18.1249027466555,"R","Horror",18.6140668736403
"The Help",2011,"Summer",146,76,0,17.3671676390638,"PG-13","Drama",19.5500678891119
"Nurse Betty",2000,"Summer",105,83,0,17.6341669060355,"R","Comedy",17.7962857555119
"State Property 2",2005,"Spring",94,50,1,14.9825580158382,"R","Action",14.759414464524
"Scream",2022,"Winter",114,76,1,17.062853309811,"R","Horror",18.8185537292234
"License to Wed",2007,"Summer",91,7,0,17.7851287152086,"PG-13","Comedy",18.4782758957685
"The Twilight Saga: New Moon",2009,"Fall",130,29,1,18.107660940221,"PG-13","Romance",20.7637158462048
"Jesus' Son",2000,"Spring",107,83,0,15.3315818130414,"R","Drama",14.6776553456348
"Road to Perdition",2002,"Summer",117,81,0,18.7535731668783,"R","Crime",19.5832160920268
"Blinded by the Light",2019,"Summer",117,89,0,16.727992991966,"PG-13","Biography",16.9954723571002
"The Hunt",2020,"Winter",90,57,0,16.6469494401494,"R","Action",16.5255885831452
"Maze",2001,"Fall",98,40,0,10.1288390541435,"R","Drama",10.3111606109375
"Sinister",2012,"Fall",109,64,0,15.2262212973836,"R","Horror",18.6015309080936
"Criminal",2016,"Spring",109,31,0,17.5332962956505,"R","Action",17.7417289964481
"Vengeance",2022,"Summer",107,79,0,15.1840824635933,"R","Comedy",15.3664040203873
"Jason Bourne",2016,"Summer",123,54,1,18.870800492601,"PG-13","Action",20.1127913641144
"Mona Lisa Smile",2003,"Fall",119,34,0,18.6298360447166,"PG-13","Drama",19.2998972052424
"Blade II",2002,"Winter",117,57,1,18.3605305787687,"R","Action",19.4149716491237
"The Perfect Storm",2000,"Spring",130,47,0,19.2027828239493,"PG-13","Action",20.2104365618375
"The Stoning of Soraya M.",2009,"Spring",116,63,0,14.1086265578032,"PG-13","Drama",14.2909481145972
"Eragon",2006,"Fall",103,16,0,18.8628323229518,"PG","Fantasy",19.7807217761896
"Nefarious",2023,"Spring",97,33,0,13.8446199871692,"R","Horror",15.6024779047216
"The Greatest Game Ever Played",2005,"Summer",120,63,0,17.5082866601465,"PG","Drama",17.0237783446979
"Lightyear",2022,"Spring",105,74,0,19.1831168460111,"PG","Animation",19.3071028257921
"The Curious Case of Benjamin Button",2008,"Fall",166,71,0,19.6450973458995,"PG-13","Drama",20.008431013434
"Extraction",2015,"Fall",83,6,0,14.0088761550361,"R","Action",14.1911977118301
"Broken Bridges",2006,"Summer",105,5,0,16.6555574097621,"PG-13","Drama",12.8814725502155
"Gigi & Nate",2022,"Summer",114,26,0,14.5353870456042,"PG-13","Drama",14.7177086023982
"Spell",2020,"Fall",92,48,0,26.9481419095155,"R","Horror",27.1304634663095
"Twisted",2004,"Winter",97,2,0,18.2347529040816,"PG-13","Thriller",18.0363019653578
"The Homesman",2014,"Fall",123,81,0,16.8697428788807,"R","Drama",16.2012883109112
"The Menu",2022,"Fall",107,88,0,17.2859968611252,"R","Horror",18.2618135723134
"Behind Enemy Lines",2001,"Fall",106,37,0,18.0761125824861,"PG-13","Action",19.1887921283656
"West of Memphis",2012,"Fall",147,95,0,26.590111679225,"R","Other",26.7724332360189
"Morbius",2022,"Spring",104,15,0,18.6426907524688,"PG-13","Action",19.0057828307282
"Lola Versus",2012,"Spring",87,33,0,26.9749959211656,"R","Comedy",27.1573174779595
"Crooked House",2017,"Fall",115,57,0,16.3648664756209,"PG-13","Other",16.5471880324148
"Gloria Bell",2019,"Winter",102,91,0,16.2445663423881,"R","Drama",16.4268878991821
"Tall Girl",2019,"Summer",102,39,0,16.6300125836058,"PG","Comedy",16.8123341403997
"Evan Almighty",2007,"Spring",96,24,1,19.3945666276427,"PG","Comedy",19.3911321651941
"The Hills Have Eyes 2",2007,"Winter",90,12,1,16.9378308548214,"R","Horror",17.856784704115
"Year One",2009,"Spring",97,14,0,18.2899824970149,"PG-13","Comedy",18.3292032101682
"Hotel Rwanda",2004,"Fall",121,90,0,17.1849307795829,"PG-13","Drama",17.8461449130398
"Dungeons & Dragons: Honor Among Thieves",2023,"Winter",134,91,0,18.8552552812655,"PG-13","Fantasy",19.1831191433501
"Ain't Them Bodies Saints",2013,"Summer",97,78,0,15.4992035807151,"R","Crime",14.1129092195952
"The Counselor",2013,"Fall",117,34,0,17.3317850444634,"R","Thriller",18.3755890966365
"The Favourite",2018,"Fall",120,93,0,16.7461466080996,"R","Biography",18.6024445984652
"Easter Sunday",2022,"Summer",96,44,0,16.7180128235193,"PG-13","Comedy",16.4574117096702
"Firewall",2006,"Winter",105,30,0,18.1696851423918,"PG-13","Thriller",18.6740901983549
"Walking with Dinosaurs",2013,"Fall",87,22,0,18.4949358542691,"PG","Other",18.9531515277628
"Above Suspicion",2021,"Summer",104,25,0,23.9218542557776,"R","Crime",24.1041758125715
"Anna",2019,"Spring",119,46,0,17.4211401725259,"R","Action",17.4730999114566
"Cowboys & Aliens",2011,"Summer",119,44,0,19.2420420150024,"PG-13","Sci-Fi",19.3119342774171
"Logan",2017,"Winter",137,94,1,19.1405753251969,"R","Action",20.4907097049024
"Super",2011,"Spring",96,48,0,15.0645825460698,"R","Other",27.4428136115658
"Longlegs",2024,"Summer",101,84,0,16.1180956509583,"R","Horror",18.6675408218839
"High Fidelity",2000,"Winter",113,91,0,17.8164884628294,"R","Comedy",18.2675640821896
"Percy Jackson & the Olympians: The Lightning Thief",2010,"Winter",119,49,0,18.7328708915539,"PG","Fantasy",19.6012973462824
"Dumbo",2019,"Winter",112,46,0,19.155741227914,"PG","Other",19.8872603452289
"Sweetwater",2023,"Spring",119,36,0,15.9240615288491,"R","Other",27.0469639164693
"This Means War",2012,"Winter",97,26,0,18.3019962786111,"PG-13","Other",19.1806650186957
"The Other Side of Heaven",2001,"Fall",113,29,0,16.3331432774274,"PG","Drama",15.955849046286
"Public Enemies",2009,"Summer",140,68,0,19.0631723852484,"R","Crime",19.5620811303885
"The Grudge",2020,"Winter",94,14,1,16.9523310897006,"PG-13","Horror",17.9098647801088
"Chappaquiddick",2018,"Spring",101,81,0,17.5644569316135,"PG-13","Drama",16.9449974668447
"Disobedience",2018,"Spring",114,93,0,15.8298558762254,"R","Drama",16.1175379486772
"Big George Foreman",2023,"Spring",129,42,0,17.310355889969,"PG-13","Other",15.6363794563973
"Brotherly Love",2015,"Spring",89,60,0,14.7377414181982,"R","Drama",27.1744975392901
"The Lord of the Rings: The Return of the King",2003,"Fall",201,93,1,18.8923066978219,"PG-13","Fantasy",21.3860395302382
"Shrek Forever After",2010,"Spring",93,57,1,19.5611928504821,"PG","Other",20.8072998914102
"About a Boy",2002,"Spring",101,93,0,17.7727439138666,"PG-13","Other",19.2429197589672
"The Accountant",2016,"Fall",128,52,0,17.8674983837372,"R","Action",19.128023357568
"Under the Silver Lake",2019,"Spring",139,59,0,16.0993843325436,"R","Other",14.7130899714237
"The Good Thief",2003,"Spring",108,77,0,17.7502092972141,"R","Crime",29.9149294255773
"Waiting for the Barbarians",2020,"Summer",112,53,0,27.3729598072379,"R","Drama",27.5552813640319
"The Dirt",2019,"Winter",108,36,0,17.1597754083915,"R","Other",17.3420969651855
"Johnson Family Vacation",2004,"Spring",97,6,0,16.8076365484414,"PG-13","Comedy",17.772717444485
"Basic Instinct 2",2006,"Winter",114,6,1,18.5061573790131,"R","Thriller",17.9109144134345
"The Tomorrow Man",2019,"Spring",94,42,0,26.6149643443169,"PG-13","Drama",26.7972859011109
"Past Lives",2023,"Spring",106,96,0,16.3295266369572,"PG-13","Romance",17.5988189074038
"The Details",2012,"Fall",101,45,0,25.0055775818071,"R","Comedy",25.1878991386011
"Crazy, Stupid, Love",2011,"Summer",118,79,0,18.0603148196238,"PG-13","Other",19.1250255566162
"Couples Retreat",2009,"Fall",113,10,0,18.2899824970149,"PG-13","Comedy",19.341968944343
"Polaroid",2019,"Fall",88,18,0,16.16000895436,"PG-13","Horror",14.5505710419259
"Sideways",2004,"Fall",127,96,0,17.0953186208932,"R","Comedy",19.0204792659346
"Geostorm",2017,"Fall",109,17,0,19.2826372077052,"PG-13","Action",19.4631553375
