"Movie.Name","Year","Season","Run.Time","Critic.Score","Sequel","Log.Budget","Adjusted.MPAA.Rating","Adjusted.Genre","Log.Box.Office"
"MVP: Most Valuable Primate",2000,"Fall",93,13,0,14.4152910811673,"PG","Comedy",14.5976126379612
"Confidence",2003,"Spring",97,70,0,17.0570621166541,"R","Crime",17.4845061314811
"Good Luck Chuck",2007,"Summer",99,5,0,17.4486564785874,"PG-13","Comedy",18.3207863146758
"Brother Bear",2003,"Fall",85,37,0,18.177653312041,"PG","Animation",19.8720715547779
"You're Next",2013,"Summer",94,76,0,14.1129092195952,"R","Horror",17.405035506203
"Crossing Over",2009,"Winter",113,16,0,15.2660793464942,"PG-13","Drama",15.4484009032882
"No One Lives",2013,"Spring",86,48,0,15.7223471320293,"R","Horror",27.9759748936566
"Mary Queen of Scots",2018,"Fall",125,63,0,17.2569722318656,"R","Biography",17.8882440087074
"College",2008,"Summer",94,5,0,16.1378254178459,"R","Comedy",16.0164645608416
"Mechanic: Resurrection",2016,"Summer",98,32,1,17.7721882039329,"R","Action",18.9180020940853
"The Bank Job",2008,"Winter",112,79,0,17.1876475423446,"R","Crime",18.3830840156482
"Sound of Freedom",2023,"Summer",131,57,0,16.5187686365958,"PG-13","Action",19.370072926301
"The Darkest Minds",2018,"Summer",105,17,0,17.5644569316135,"PG-13","Sci-Fi",17.7541045284996
"The Souvenir",2019,"Spring",119,88,0,14.5307684146298,"R","Drama",14.7130899714237
"Loving Jezebel",2000,"Fall",87,40,0,25.4200263355065,"R","Comedy",25.6023478923005
"The Blackening",2023,"Spring",97,80,0,15.4540578996033,"PG-13","Horror",16.7677815678884
"Tiger Eyes",2013,"Spring",92,77,0,24.1400882444739,"PG-13","Drama",24.3224098012678
"The Empty Man",2020,"Fall",137,75,0,16.7804808327739,"R","Horror",15.576508028448
"Supercross",2005,"Summer",80,5,0,17.6906082169404,"PG-13","Action",29.3122179677195
"To Rome with Love",2012,"Spring",112,44,0,16.9608223527717,"R","Comedy",18.4208044296828
"Deepwater Horizon",2016,"Summer",107,83,0,19.1331647570685,"PG-13","Thriller",18.8856891050947
"The Twilight Saga: Eclipse",2010,"Spring",123,47,1,18.3985017051294,"PG-13","Fantasy",20.7842919209015
"Tears of the Sun",2003,"Winter",121,33,0,18.9591696430511,"R","Other",18.8091563294898
"Winchester",2018,"Winter",99,14,0,15.2908593754927,"PG-13","Horror",17.8222860409156
"Ramona and Beezus",2010,"Summer",103,70,0,16.8870442010555,"PG","Comedy",17.4858807021442
"Lowriders",2017,"Spring",99,58,0,15.6717192950609,"PG-13","Drama",15.9028310160243
"Paws of Fury: The Legend of Hank",2022,"Summer",98,53,0,17.6914619692334,"PG","Animation",17.6343035553934
"Five Nights at Freddy's",2023,"Fall",109,32,0,16.8403522607232,"PG-13","Horror",19.5200029873037
"The Other Man",2009,"Summer",84,18,0,14.7552537227283,"R","Drama",14.9375752795222
"Sex and the City",2008,"Spring",145,49,0,18.3663025386862,"R","Romance",20.229308747787
"Beautiful Disaster",2023,"Spring",95,25,0,15.5938198419785,"PG-13","Romance",15.7761413987725
"About Last Night",2014,"Winter",100,13,1,16.6621035141025,"R","Comedy",18.0191274929223
"The Disappointments Room",2016,"Summer",85,0,0,16.7913589509211,"R","Thriller",15.8237749246594
"Cry Macho",2021,"Fall",104,59,0,17.4583364137477,"PG-13","Drama",16.7651892331877
"Breaking",2022,"Summer",103,80,0,14.7320973398503,"R","Drama",14.9144188966442
"The Suicide Squad",2021,"Fall",132,90,1,19.1821846773595,"R","Action",19.0899508418331
"The Front Runner",2018,"Fall",114,60,0,17.2569722318656,"R","Drama",15.201247216803
"Case 39",2010,"Fall",109,30,0,17.4370905379748,"R","Horror",17.5183159778974
"The Cave",2005,"Summer",97,13,0,17.5082866601465,"PG-13","Horror",17.7949682322647
"Shazam!",2019,"Spring",132,90,0,18.9615852134731,"PG-13","Action",19.927482103034
"Keeping the Faith",2000,"Spring",128,69,0,17.7825869111538,"PG-13","Comedy",18.5079675862887
"The Pale Blue Eye",2022,"Fall",130,64,0,18.1614655984791,"R","Other",18.3437871552731
"John Carter",2012,"Winter",132,52,0,19.8531529751532,"PG-13","Action",19.7769352975756
"Ice Age: Dawn of the Dinosaurs",2009,"Summer",94,45,1,18.6954476051231,"PG","Animation",20.9831446411788
"Dune: Part Two",2024,"Winter",166,92,1,19.0625346301248,"PG-13","Sci-Fi",20.3883523847892
"The Dukes of Hazzard",2005,"Summer",104,14,1,18.2597027488304,"PG-13","Action",18.9880713643537
"The Snowman",2017,"Fall",119,29,0,17.6176294441163,"R","Thriller",17.8258043797365
"Witless Protection",2008,"Winter",99,0,0,16.2068182893329,"PG-13","Comedy",15.6269997940799
"Fantastic Beasts: The Secrets of Dumbledore",2022,"Spring",142,46,1,19.1831168460111,"PG-13","Fantasy",19.8941039446994
"The Longshots",2008,"Summer",95,40,0,17.3274094847197,"PG","Drama",16.6600148002622
"The Incredible Hulk",2008,"Spring",112,67,0,19.5508572571551,"PG-13","Action",19.7739066863929
"Children of the Corn",2023,"Winter",93,11,1,26.9247350060575,"R","Horror",27.1070565628514
"Risen",2016,"Winter",107,52,0,17.0790410233729,"PG-13","Drama",17.9206082090511
"Trauma Center",2019,"Fall",87,0,0,25.2776318609725,"R","Action",25.4599534177665
"Robot & Frank",2012,"Summer",89,86,0,15.0438997405896,"PG-13","Sci-Fi",15.7168442138321
"Fantastic Mr. Fox",2009,"Fall",87,93,0,17.8845173889068,"PG","Animation",18.2578035986507
"The Wedding Planner",2001,"Winter",104,17,0,18.204945454329,"PG-13","Comedy",18.9379471285642
